segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-07T21:44:44.828513,A,240p,200,1267.78,0.158,6.14,1.23,2.0,1,0,0.0,0
1,2026-06-07T21:44:45.021116,A,240p,200,1039.08,0.192,6.55,2.29,3.81,1,0,0.0,0
2,2026-06-07T21:44:45.156849,A,240p,200,1474.95,0.136,4.61,2.76,5.67,1,0,0.0,0
3,2026-06-07T21:44:45.438883,A,360p,400,1419.3,0.282,3.51,2.91,7.39,1,0,0.0,0
4,2026-06-07T21:44:45.708318,A,360p,400,1485.78,0.269,3.51,3.03,9.12,1,0,0.0,0
5,2026-06-07T21:44:46.059226,A,360p,400,1140.59,0.351,3.09,3.04,10.77,1,0,0.0,0
6,2026-06-07T21:44:46.557923,A,480p,700,1404.18,0.499,2.54,2.94,12.27,1,0,0.0,0
7,2026-06-07T21:44:47.078140,A,480p,700,1346.06,0.52,2.1,2.77,13.75,1,0,0.0,0
8,2026-06-07T21:44:47.978211,A,480p,700,777.9,0.9,2.97,2.81,14.85,1,0,0.0,0
9,2026-06-07T21:44:48.869718,A,480p,700,785.38,0.891,2.44,2.74,15.96,1,0,0.0,0
10,2026-06-07T21:44:49.555222,A,480p,700,1021.37,0.685,2.52,2.69,17.27,1,0,0.0,0
11,2026-06-07T21:44:50.206797,A,480p,700,1074.52,0.651,2.5,2.65,18.62,1,0,0.0,0
12,2026-06-07T21:44:50.896524,A,480p,700,1015.05,0.69,2.24,2.57,19.93,1,0,0.0,0
13,2026-06-07T21:44:51.621943,A,480p,700,965.18,0.725,2.87,2.63,21.21,1,0,0.0,0
14,2026-06-07T21:44:53.477717,A,480p,700,1086.55,0.644,2.53,2.61,21.35,1,0,0.0,0
15,2026-06-07T21:44:55.474420,A,480p,700,1084.43,0.646,2.68,2.62,21.35,1,0,0.0,0
16,2026-06-07T21:44:57.597842,A,480p,700,911.49,0.768,2.55,2.61,21.23,1,0,0.0,0
17,2026-06-07T21:44:59.584111,A,480p,700,926.79,0.755,2.44,2.58,21.24,1,0,0.0,0
18,2026-06-07T21:45:01.688597,A,480p,700,814.14,0.86,2.68,2.6,21.14,1,0,0.0,0
19,2026-06-07T21:45:03.640841,A,480p,700,862.87,0.811,3.45,2.77,21.19,1,0,0.0,0
20,2026-06-07T21:45:05.553247,A,480p,700,969.68,0.722,2.16,2.65,21.28,1,0,0.0,0
21,2026-06-07T21:45:07.649064,A,480p,700,855.26,0.818,3.45,2.81,21.18,1,0,0.0,0
22,2026-06-07T21:45:09.563240,A,480p,700,959.55,0.73,2.87,2.82,21.27,1,0,0.0,0
23,2026-06-07T21:45:11.667305,A,480p,700,836.61,0.837,3.39,2.93,21.16,1,0,0.0,0
24,2026-06-07T21:45:13.626282,A,480p,700,879.86,0.796,2.91,2.93,21.2,1,0,0.0,0
25,2026-06-07T21:45:15.606588,A,480p,700,905.71,0.773,2.81,2.91,21.22,1,0,0.0,0
26,2026-06-07T21:45:17.626811,A,480p,700,882.74,0.793,2.6,2.85,21.2,1,0,0.0,0
27,2026-06-07T21:45:19.508901,A,480p,700,1036.76,0.675,2.72,2.82,21.32,1,0,0.0,0
28,2026-06-07T21:45:21.487291,A,480p,700,1065.39,0.657,2.93,2.84,21.34,1,0,0.0,0
29,2026-06-07T21:45:23.563918,A,480p,700,958.49,0.73,2.65,2.8,21.26,1,0,0.0,0
