segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-21T14:17:27.142336,A,240p,200,931.34,0.429,5.36,1.07,2.0,1,0,0.0,0
1,2026-06-21T14:17:27.593330,A,240p,200,887.49,0.451,11.77,3.21,3.55,1,0,0.0,0
2,2026-06-21T14:17:27.947165,A,240p,200,1130.97,0.354,15.9,5.75,5.2,1,0,0.0,0
3,2026-06-21T14:17:29.929409,A,360p,400,1023.19,0.782,10.12,6.62,5.21,1,0,0.0,0
4,2026-06-21T14:17:31.853778,A,360p,400,1132.93,0.706,12.22,7.74,5.29,1,0,0.0,0
5,2026-06-21T14:17:34.011113,A,360p,400,926.54,0.863,11.72,8.54,5.13,1,0,0.0,0
6,2026-06-21T14:17:36.436318,A,480p,700,1086.44,1.289,14.94,9.82,4.71,1,0,0.0,0
7,2026-06-21T14:17:38.506018,A,480p,700,1030.66,1.358,12.42,10.34,4.64,1,0,0.0,0
8,2026-06-21T14:17:40.449895,A,480p,700,1075.07,1.302,11.91,10.65,4.69,1,0,0.0,0
9,2026-06-21T14:17:42.495834,A,480p,700,1038.43,1.348,11.75,10.87,4.65,1,0,0.0,0
10,2026-06-21T14:17:47.130709,A,480p,700,351.49,3.983,11.41,10.98,2.01,1,0,0.0,0
11,2026-06-21T14:17:51.079465,A,480p,700,354.57,3.948,12.92,11.37,2.0,1,1,1.937,0
12,2026-06-21T14:17:55.032117,A,480p,700,354.23,3.952,11.06,11.31,2.0,1,1,1.953,0
13,2026-06-21T14:17:59.186235,A,480p,700,337.05,4.154,10.77,11.2,2.0,1,1,2.154,0
14,2026-06-21T14:18:03.097399,A,480p,700,357.98,3.911,13.24,11.61,2.0,1,1,1.911,0
15,2026-06-21T14:18:05.393877,A,360p,400,348.41,2.296,10.23,11.33,2.0,1,1,0.296,0
16,2026-06-21T14:18:07.949943,A,360p,400,313.02,2.556,11.18,11.3,2.0,1,1,0.556,0
17,2026-06-21T14:18:10.418359,A,360p,400,324.14,2.468,11.33,11.31,2.0,1,1,0.468,0
18,2026-06-21T14:18:11.761802,A,240p,200,297.81,1.343,16.92,12.43,2.66,1,0,0.0,0
19,2026-06-21T14:18:13.042287,A,240p,200,312.44,1.28,16.11,13.17,3.38,1,0,0.0,0
20,2026-06-21T14:18:14.158014,A,240p,200,358.6,1.115,15.1,13.55,4.26,1,0,0.0,0
21,2026-06-21T14:18:15.701195,A,240p,200,313.11,1.277,20.88,15.02,4.72,1,0,0.0,0
22,2026-06-21T14:18:17.680031,A,240p,200,318.38,1.256,12.57,14.53,4.74,1,0,0.0,0
23,2026-06-21T14:18:19.694869,A,240p,200,314.65,1.271,13.67,14.36,4.72,1,0,0.0,0
24,2026-06-21T14:18:21.731349,A,240p,200,305.88,1.308,16.32,14.75,4.69,1,0,0.0,0
25,2026-06-21T14:18:23.673193,A,240p,200,320.09,1.25,22.83,16.37,4.75,1,0,0.0,0
26,2026-06-21T14:18:25.682538,A,240p,200,317.74,1.259,15.5,16.19,4.74,1,0,0.0,0
27,2026-06-21T14:18:27.568412,A,240p,200,348.99,1.146,17.24,16.4,4.85,1,0,0.0,0
28,2026-06-21T14:18:29.578412,A,240p,200,345.99,1.156,11.43,15.41,4.84,1,0,0.0,0
29,2026-06-21T14:18:31.621137,A,240p,200,334.05,1.197,13.1,14.95,4.8,1,0,0.0,0
