segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-21T14:16:30.680179,A,240p,200,906.99,0.441,14.27,2.85,2.0,1,0,0.0,0
1,2026-06-21T14:16:32.280280,A,480p,700,875.14,1.6,11.19,4.52,2.4,1,0,0.0,0
2,2026-06-21T14:16:33.662805,A,480p,700,1012.84,1.382,13.35,6.29,3.02,1,0,0.0,0
3,2026-06-21T14:16:34.963227,A,480p,700,1076.78,1.3,8.59,6.75,3.72,1,0,0.0,0
4,2026-06-21T14:16:36.371237,A,480p,700,994.5,1.408,13.23,8.04,4.31,1,0,0.0,0
5,2026-06-21T14:16:38.142592,A,480p,700,960.78,1.457,15.37,9.51,4.54,1,0,0.0,0
6,2026-06-21T14:16:40.060435,A,480p,700,1017.32,1.376,12.96,10.2,4.62,1,0,0.0,0
7,2026-06-21T14:16:42.203778,A,480p,700,922.07,1.518,10.58,10.27,4.48,1,0,0.0,0
8,2026-06-21T14:16:44.211932,A,480p,700,917.15,1.526,10.51,10.32,4.47,1,0,0.0,0
9,2026-06-21T14:16:46.190106,A,480p,700,930.46,1.505,11.37,10.53,4.49,1,0,0.0,0
10,2026-06-21T14:16:50.647326,A,480p,700,353.37,3.962,11.52,10.73,2.03,1,0,0.0,0
11,2026-06-21T14:16:52.872371,A,360p,400,359.59,2.225,13.64,11.31,2.0,1,1,0.192,0
12,2026-06-21T14:16:55.143247,A,360p,400,352.35,2.27,13.84,11.82,2.0,1,1,0.271,0
13,2026-06-21T14:16:56.323130,A,240p,200,339.12,1.18,12.11,11.88,2.82,1,0,0.0,0
14,2026-06-21T14:16:57.413362,A,240p,200,366.98,1.09,12.7,12.04,3.73,1,0,0.0,0
15,2026-06-21T14:16:58.477897,A,240p,200,375.84,1.064,13.66,12.36,4.67,1,0,0.0,0
16,2026-06-21T14:17:00.344526,A,240p,200,334.45,1.196,14.4,12.77,4.8,1,0,0.0,0
17,2026-06-21T14:17:02.339073,A,240p,200,335.98,1.191,14.53,13.12,4.8,1,0,0.0,0
18,2026-06-21T14:17:04.479818,A,240p,200,300.47,1.331,14.2,13.34,4.66,1,0,0.0,0
19,2026-06-21T14:17:06.444415,A,240p,200,308.68,1.296,14.33,13.54,4.7,1,0,0.0,0
20,2026-06-21T14:17:08.302252,A,240p,200,346.71,1.154,9.51,12.73,4.84,1,0,0.0,0
21,2026-06-21T14:17:10.438334,A,240p,200,310.13,1.29,14.46,13.08,4.7,1,0,0.0,0
22,2026-06-21T14:17:12.371119,A,240p,200,327.18,1.223,12.2,12.9,4.77,1,0,0.0,0
23,2026-06-21T14:17:14.493439,A,240p,200,297.42,1.345,19.75,14.27,4.65,1,0,0.0,0
24,2026-06-21T14:17:16.473696,A,240p,200,301.84,1.325,12.7,13.96,4.67,1,0,0.0,0
25,2026-06-21T14:17:18.285849,A,240p,200,351.72,1.137,13.5,13.87,4.86,1,0,0.0,0
26,2026-06-21T14:17:20.399820,A,240p,200,318.78,1.255,19.1,14.91,4.74,1,0,0.0,0
27,2026-06-21T14:17:22.252815,A,240p,200,362.24,1.104,14.55,14.84,4.89,1,0,0.0,0
28,2026-06-21T14:17:24.312061,A,240p,200,343.8,1.163,15.1,14.89,4.83,1,0,0.0,0
29,2026-06-21T14:17:26.416877,A,240p,200,315.41,1.268,20.06,15.93,4.73,1,0,0.0,0
