segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-07T20:15:41.641888,A,240p,200,1236.63,0.162,5.01,1.0,2.0,1,0,0.0,0
1,2026-06-07T20:15:42.304970,A,480p,700,1055.84,0.663,2.8,1.36,3.34,1,0,0.0,0
2,2026-06-07T20:15:42.769320,A,480p,700,1507.87,0.464,2.35,1.56,4.87,1,0,0.0,0
3,2026-06-07T20:15:43.268704,A,480p,700,1402.16,0.499,2.35,1.72,6.37,1,0,0.0,0
4,2026-06-07T20:15:43.729453,A,480p,700,1519.74,0.461,2.65,1.9,7.91,1,0,0.0,0
5,2026-06-07T20:15:44.317416,A,480p,700,1190.81,0.588,2.6,2.04,9.32,1,0,0.0,0
6,2026-06-07T20:15:44.791501,A,480p,700,1476.93,0.474,3.1,2.25,10.85,1,0,0.0,0
7,2026-06-07T20:15:45.315979,A,480p,700,1335.02,0.524,2.73,2.35,12.33,1,0,0.0,0
8,2026-06-07T20:15:46.217010,A,480p,700,777.05,0.901,2.7,2.42,13.42,1,0,0.0,0
9,2026-06-07T20:15:47.097828,A,480p,700,794.89,0.881,2.67,2.47,14.54,1,0,0.0,0
10,2026-06-07T20:15:47.780967,A,480p,700,1024.87,0.683,2.77,2.53,15.86,1,0,0.0,0
11,2026-06-07T20:15:48.149926,A,360p,400,1084.45,0.369,3.55,2.74,17.49,1,0,0.0,0
12,2026-06-07T20:15:48.823439,A,480p,700,1039.61,0.673,3.32,2.85,18.82,1,0,0.0,0
13,2026-06-07T20:15:49.540889,A,480p,700,975.89,0.717,3.18,2.92,20.1,1,0,0.0,0
14,2026-06-07T20:15:50.288322,A,480p,700,1089.85,0.642,2.95,2.92,21.35,1,0,0.0,0
15,2026-06-07T20:15:52.300277,A,480p,700,1069.29,0.655,3.11,2.96,21.34,1,0,0.0,0
16,2026-06-07T20:15:54.412075,A,480p,700,911.8,0.768,3.02,2.97,21.23,1,0,0.0,0
17,2026-06-07T20:15:56.417764,A,480p,700,902.74,0.775,2.04,2.79,21.22,1,0,0.0,0
18,2026-06-07T20:15:58.506568,A,480p,700,814.3,0.86,2.53,2.73,21.14,1,0,0.0,0
19,2026-06-07T20:16:00.466025,A,480p,700,853.24,0.82,2.98,2.78,21.18,1,0,0.0,0
20,2026-06-07T20:16:02.041426,A,360p,400,1001.85,0.399,4.24,3.08,21.6,1,0,0.0,0
21,2026-06-07T20:16:04.470177,A,480p,700,850.49,0.823,3.1,3.08,21.17,1,0,0.0,0
22,2026-06-07T20:16:06.389231,A,480p,700,943.2,0.742,2.87,3.04,21.25,1,0,0.0,0
23,2026-06-07T20:16:08.483545,A,480p,700,836.9,0.836,3.47,3.12,21.16,1,0,0.0,0
24,2026-06-07T20:16:10.436081,A,480p,700,887.22,0.789,2.65,3.03,21.21,1,0,0.0,0
25,2026-06-07T20:16:12.410648,A,480p,700,912.12,0.767,2.61,2.94,21.23,1,0,0.0,0
26,2026-06-07T20:16:14.436687,A,480p,700,883.9,0.792,2.96,2.95,21.21,1,0,0.0,0
27,2026-06-07T20:16:16.320003,A,480p,700,1040.3,0.673,2.93,2.94,21.32,1,0,0.0,0
28,2026-06-07T20:16:18.311218,A,480p,700,1055.07,0.663,2.38,2.83,21.33,1,0,0.0,0
29,2026-06-07T20:16:20.400231,A,480p,700,926.81,0.755,2.51,2.77,21.24,1,0,0.0,0
