segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-21T14:15:09.833164,A,240p,200,1249.57,0.32,3.28,0.66,2.0,1,0,0.0,0
1,2026-06-21T14:15:10.221379,A,240p,200,1031.28,0.388,2.6,1.05,3.61,1,0,0.0,0
2,2026-06-21T14:15:10.495343,A,240p,200,1461.13,0.274,2.5,1.34,5.34,1,0,0.0,0
3,2026-06-21T14:15:11.074760,A,360p,400,1381.34,0.579,1.93,1.45,6.76,1,0,0.0,0
4,2026-06-21T14:15:11.613681,A,360p,400,1485.27,0.539,2.47,1.66,8.22,1,0,0.0,0
5,2026-06-21T14:15:12.326287,A,360p,400,1123.05,0.712,2.0,1.73,9.51,1,0,0.0,0
6,2026-06-21T14:15:13.326658,A,480p,700,1399.84,1.0,1.66,1.71,10.51,1,0,0.0,0
7,2026-06-21T14:15:14.382157,A,480p,700,1326.7,1.055,1.9,1.75,11.45,1,0,0.0,0
8,2026-06-21T14:15:16.199200,A,480p,700,770.59,1.817,1.98,1.8,11.63,1,0,0.0,0
9,2026-06-21T14:15:17.963971,A,480p,700,793.42,1.765,1.66,1.77,11.87,1,0,0.0,0
10,2026-06-21T14:15:19.358067,A,480p,700,1004.42,1.394,1.38,1.69,12.48,1,0,0.0,0
11,2026-06-21T14:15:20.694393,A,480p,700,1047.83,1.336,1.81,1.71,13.14,1,0,0.0,0
12,2026-06-21T14:15:22.066877,A,480p,700,1020.19,1.372,1.61,1.69,13.77,1,0,0.0,0
13,2026-06-21T14:15:23.508764,A,480p,700,971.12,1.442,1.58,1.67,14.32,1,0,0.0,0
14,2026-06-21T14:15:24.848392,A,480p,700,1045.27,1.339,1.7,1.68,14.98,1,0,0.0,0
15,2026-06-21T14:15:26.156996,A,480p,700,1070.07,1.308,2.08,1.76,15.68,1,0,0.0,0
16,2026-06-21T14:15:27.706861,A,480p,700,903.46,1.55,1.3,1.67,16.13,1,0,0.0,0
17,2026-06-21T14:15:29.273312,A,480p,700,893.86,1.566,1.47,1.63,16.56,1,0,0.0,0
18,2026-06-21T14:15:30.999607,A,480p,700,811.11,1.726,1.68,1.64,16.83,1,0,0.0,0
19,2026-06-21T14:15:32.657074,A,480p,700,844.82,1.657,1.95,1.7,17.18,1,0,0.0,0
20,2026-06-21T14:15:34.085080,A,480p,700,980.59,1.428,1.71,1.7,17.75,1,0,0.0,0
21,2026-06-21T14:15:35.745499,A,480p,700,843.3,1.66,1.91,1.74,18.09,1,0,0.0,0
22,2026-06-21T14:15:37.216686,A,480p,700,951.81,1.471,1.76,1.75,18.62,1,0,0.0,0
23,2026-06-21T14:15:38.907081,A,480p,700,828.33,1.69,2.06,1.81,18.93,1,0,0.0,0
24,2026-06-21T14:15:40.516585,A,480p,700,869.99,1.609,2.65,1.98,19.32,1,0,0.0,0
25,2026-06-21T14:15:42.088015,A,480p,700,891.06,1.571,1.58,1.9,19.75,1,0,0.0,0
26,2026-06-21T14:15:43.698943,A,480p,700,869.21,1.611,1.86,1.89,20.13,1,0,0.0,0
27,2026-06-21T14:15:45.216912,A,480p,700,1015.61,1.378,1.48,1.81,20.62,1,0,0.0,0
28,2026-06-21T14:15:47.159846,A,480p,700,1059.5,1.321,1.26,1.7,20.67,1,0,0.0,0
29,2026-06-21T14:15:49.349271,A,480p,700,926.65,1.511,1.72,1.7,20.48,1,0,0.0,0
