segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-21T14:15:49.964582,A,240p,200,1239.0,0.323,2.86,0.57,2.0,1,0,0.0,0
1,2026-06-21T14:15:50.347768,A,240p,200,1044.82,0.383,4.04,1.27,3.62,1,0,0.0,0
2,2026-06-21T14:15:50.898543,A,360p,400,1453.99,0.55,1.49,1.31,5.07,1,0,0.0,0
3,2026-06-21T14:15:51.471654,A,360p,400,1396.54,0.573,2.23,1.49,6.49,1,0,0.0,0
4,2026-06-21T14:15:52.399844,A,480p,700,1509.49,0.927,2.1,1.62,7.56,1,0,0.0,0
5,2026-06-21T14:15:53.632200,A,480p,700,1136.42,1.232,1.64,1.62,8.33,1,0,0.0,0
6,2026-06-21T14:15:54.647581,A,480p,700,1379.48,1.015,1.73,1.64,9.32,1,0,0.0,0
7,2026-06-21T14:15:55.726172,A,480p,700,1298.74,1.078,1.23,1.56,10.24,1,0,0.0,0
8,2026-06-21T14:15:57.551192,A,480p,700,767.37,1.824,1.35,1.52,10.41,1,0,0.0,0
9,2026-06-21T14:15:59.304806,A,480p,700,798.64,1.753,1.83,1.58,10.66,1,0,0.0,0
10,2026-06-21T14:16:00.683576,A,480p,700,1015.88,1.378,2.12,1.69,11.28,1,0,0.0,0
11,2026-06-21T14:16:02.028625,A,480p,700,1041.36,1.344,1.33,1.62,11.94,1,0,0.0,0
12,2026-06-21T14:16:03.416840,A,480p,700,1008.96,1.388,1.59,1.61,12.55,1,0,0.0,0
13,2026-06-21T14:16:04.855100,A,480p,700,973.83,1.438,2.09,1.71,13.11,1,0,0.0,0
14,2026-06-21T14:16:06.189753,A,480p,700,1049.47,1.334,1.75,1.72,13.77,1,0,0.0,0
15,2026-06-21T14:16:07.522965,A,480p,700,1050.62,1.333,1.44,1.66,14.44,1,0,0.0,0
16,2026-06-21T14:16:09.089330,A,480p,700,894.16,1.566,1.08,1.55,14.88,1,0,0.0,0
17,2026-06-21T14:16:10.647894,A,480p,700,898.65,1.558,1.51,1.54,15.32,1,0,0.0,0
18,2026-06-21T14:16:12.383621,A,480p,700,806.87,1.735,1.29,1.49,15.58,1,0,0.0,0
19,2026-06-21T14:16:14.039872,A,480p,700,845.6,1.656,1.74,1.54,15.92,1,0,0.0,0
20,2026-06-21T14:16:15.460525,A,480p,700,985.93,1.42,1.61,1.55,16.5,1,0,0.0,0
21,2026-06-21T14:16:17.117989,A,480p,700,844.98,1.657,1.94,1.63,16.85,1,0,0.0,0
22,2026-06-21T14:16:18.579420,A,480p,700,958.38,1.461,1.89,1.68,17.39,1,0,0.0,0
23,2026-06-21T14:16:20.265539,A,480p,700,830.63,1.685,1.86,1.72,17.7,1,0,0.0,0
24,2026-06-21T14:16:21.896130,A,480p,700,858.92,1.63,1.43,1.66,18.07,1,0,0.0,0
25,2026-06-21T14:16:23.444503,A,480p,700,904.58,1.548,1.95,1.72,18.52,1,0,0.0,0
26,2026-06-21T14:16:25.045889,A,480p,700,874.53,1.601,2.05,1.78,18.92,1,0,0.0,0
27,2026-06-21T14:16:26.437801,A,480p,700,1006.2,1.391,1.3,1.69,19.53,1,0,0.0,0
28,2026-06-21T14:16:27.739354,A,480p,700,1076.17,1.301,2.03,1.75,20.23,1,0,0.0,0
29,2026-06-21T14:16:29.466305,A,480p,700,935.74,1.496,1.52,1.71,20.5,1,0,0.0,0
