segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-07T16:28:34.447300,A,240p,200,1094.62,0.183,20.51,4.1,2.0,1,0,0.0,0
1,2026-06-07T16:28:34.622635,A,240p,200,1141.85,0.175,17.0,6.68,3.82,1,0,0.0,0
2,2026-06-07T16:28:34.802836,A,240p,200,1110.75,0.18,21.32,9.61,5.64,1,0,0.0,0
3,2026-06-07T16:28:35.107129,A,360p,400,1315.05,0.304,15.62,10.81,7.34,1,0,0.0,0
4,2026-06-07T16:28:35.462257,A,360p,400,1126.82,0.355,21.45,12.94,8.99,1,0,0.0,0
5,2026-06-07T16:28:35.763620,A,360p,400,1327.69,0.301,14.93,13.34,10.68,1,0,0.0,0
6,2026-06-07T16:28:36.296042,A,480p,700,1315.12,0.532,18.67,14.4,12.15,1,0,0.0,0
7,2026-06-07T16:28:36.830452,A,480p,700,1310.32,0.534,17.26,14.98,13.62,1,0,0.0,0
8,2026-06-07T16:28:37.366588,A,480p,700,1306.1,0.536,22.61,16.5,15.08,1,0,0.0,0
9,2026-06-07T16:28:37.912320,A,480p,700,1283.07,0.546,16.09,16.42,16.53,1,0,0.0,0
10,2026-06-07T16:28:38.462345,A,480p,700,1273.0,0.55,15.68,16.27,17.98,1,0,0.0,0
11,2026-06-07T16:28:39.012468,A,480p,700,1272.88,0.55,16.8,16.38,19.43,1,0,0.0,0
12,2026-06-07T16:28:39.576518,A,480p,700,1241.43,0.564,24.98,18.1,20.87,1,0,0.0,0
13,2026-06-07T16:28:41.012507,A,480p,700,1250.04,0.56,16.51,17.78,21.43,1,0,0.0,0
14,2026-06-07T16:28:43.014252,A,480p,700,1239.13,0.565,20.29,18.28,21.43,1,0,0.0,0
15,2026-06-07T16:28:45.009374,A,480p,700,1251.99,0.559,19.3,18.49,21.44,1,0,0.0,0
16,2026-06-07T16:28:47.008978,A,480p,700,1255.18,0.558,16.28,18.05,21.44,1,0,0.0,0
17,2026-06-07T16:28:49.017395,A,480p,700,1239.16,0.565,21.71,18.78,21.43,1,0,0.0,0
18,2026-06-07T16:28:50.996465,A,480p,700,1284.6,0.545,19.78,18.98,21.45,1,0,0.0,0
19,2026-06-07T16:28:52.980573,A,480p,700,1319.34,0.531,20.29,19.24,21.47,1,0,0.0,0
20,2026-06-07T16:28:55.001913,A,480p,700,1266.62,0.553,19.22,19.24,21.45,1,0,0.0,0
21,2026-06-07T16:28:56.996765,A,480p,700,1283.4,0.545,17.83,18.96,21.45,1,0,0.0,0
22,2026-06-07T16:28:59.014922,A,480p,700,1234.8,0.567,20.63,19.29,21.43,1,0,0.0,0
23,2026-06-07T16:29:01.010974,A,480p,700,1250.98,0.56,19.23,19.28,21.44,1,0,0.0,0
24,2026-06-07T16:29:03.012739,A,480p,700,1249.71,0.56,18.66,19.16,21.43,1,0,0.0,0
25,2026-06-07T16:29:05.017173,A,480p,700,1237.4,0.566,19.29,19.18,21.43,1,0,0.0,0
26,2026-06-07T16:29:06.964843,A,480p,700,1366.33,0.512,13.59,18.06,21.48,1,0,0.0,0
27,2026-06-07T16:29:09.010530,A,480p,700,1247.8,0.561,19.47,18.35,21.44,1,0,0.0,0
28,2026-06-07T16:29:11.006813,A,480p,700,1258.12,0.556,18.3,18.34,21.44,1,0,0.0,0
29,2026-06-07T16:29:13.000026,A,480p,700,1273.64,0.55,19.93,18.66,21.45,1,0,0.0,0
