segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-23T09:23:59.210401,A,240p,200,1126.37,0.178,19.66,3.93,2.0,1,0,0.0,0
1,2026-06-23T09:23:59.393639,A,240p,200,1092.97,0.183,20.93,7.33,3.82,1,0,0.0,0
2,2026-06-23T09:23:59.728820,A,360p,400,1195.91,0.334,20.4,9.94,5.48,1,0,0.0,0
3,2026-06-23T09:24:00.528126,A,360p,400,1280.83,0.312,17.5,11.46,6.68,1,0,0.0,0
4,2026-06-23T09:24:02.660204,A,480p,600,1350.59,0.444,17.19,12.6,6.55,1,0,0.0,0
5,2026-06-23T09:24:04.659206,A,480p,600,1354.42,0.443,17.53,13.59,6.55,1,0,0.0,0
6,2026-06-23T09:24:06.898416,A,720p,900,1319.21,0.682,19.32,14.74,6.31,1,0,0.0,0
7,2026-06-23T09:24:08.905193,A,720p,900,1297.51,0.694,18.84,15.56,6.31,1,0,0.0,0
8,2026-06-23T09:24:11.149686,A,1080p,1200,1285.53,0.933,24.0,17.25,6.06,1,0,0.0,0
9,2026-06-23T09:24:13.154179,A,1080p,1200,1277.25,0.94,27.71,19.34,6.06,1,0,0.0,0
10,2026-06-23T09:24:15.146181,A,1080p,1200,1290.39,0.93,29.4,21.35,6.06,1,0,0.0,0
11,2026-06-23T09:24:17.196698,A,1080p,1200,1220.95,0.983,31.26,23.33,6.01,1,0,0.0,0
12,2026-06-23T09:24:18.964087,A,720p,900,1198.68,0.751,29.26,24.52,6.25,1,0,0.0,0
13,2026-06-23T09:24:20.890365,A,720p,900,1330.92,0.676,21.97,24.01,6.32,1,0,0.0,0
14,2026-06-23T09:24:22.962570,A,720p,900,1205.9,0.746,23.35,23.88,6.25,1,0,0.0,0
15,2026-06-23T09:24:24.915925,A,720p,900,1286.26,0.7,16.92,22.49,6.29,1,0,0.0,0
16,2026-06-23T09:24:26.886191,A,720p,900,1342.37,0.67,21.61,22.31,6.32,1,0,0.0,0
17,2026-06-23T09:24:28.907597,A,720p,900,1301.77,0.691,22.94,22.44,6.3,1,0,0.0,0
18,2026-06-23T09:24:30.989694,A,720p,900,1163.67,0.773,27.05,23.36,6.22,1,0,0.0,0
19,2026-06-23T09:24:32.924470,A,720p,900,1270.79,0.708,21.28,22.94,6.29,1,0,0.0,0
20,2026-06-23T09:24:34.918048,A,720p,900,1282.43,0.702,25.53,23.46,6.29,1,0,0.0,0
21,2026-06-23T09:24:36.909240,A,720p,900,1297.94,0.693,26.44,24.06,6.3,1,0,0.0,0
22,2026-06-23T09:24:38.881825,A,720p,900,1348.93,0.667,23.86,24.02,6.33,1,0,0.0,0
23,2026-06-23T09:24:40.982101,A,720p,900,1175.18,0.766,27.28,24.67,6.23,1,0,0.0,0
24,2026-06-23T09:24:42.902850,A,720p,900,1310.89,0.687,21.95,24.13,6.31,1,0,0.0,0
25,2026-06-23T09:24:44.902125,A,720p,900,1311.19,0.686,22.25,23.75,6.31,1,0,0.0,0
26,2026-06-23T09:24:46.895902,A,720p,900,1314.22,0.685,21.87,23.38,6.31,1,0,0.0,0
27,2026-06-23T09:24:48.892977,A,720p,900,1330.26,0.677,18.5,22.4,6.32,1,0,0.0,0
28,2026-06-23T09:24:50.909706,A,720p,900,1297.06,0.694,18.86,21.69,6.3,1,0,0.0,0
29,2026-06-23T09:24:53.132743,A,1080p,1200,1309.31,0.917,20.18,21.39,6.08,1,0,0.0,0
