segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-21T13:54:33.120148,A,240p,200,1112.96,0.18,28.93,5.79,2.0,1,0,0.0,0
1,2026-06-21T13:54:33.305015,A,240p,200,1083.22,0.185,20.37,8.7,3.82,1,0,0.0,0
2,2026-06-21T13:54:33.671669,A,360p,400,1092.24,0.366,21.79,11.32,5.45,1,0,0.0,0
3,2026-06-21T13:54:33.985725,A,360p,400,1275.29,0.314,23.52,13.76,7.13,1,0,0.0,0
4,2026-06-21T13:54:34.794876,A,480p,600,742.13,0.808,46.2,20.25,8.33,1,0,0.0,0
5,2026-06-21T13:54:35.630446,A,480p,600,718.48,0.835,40.33,24.26,9.49,1,0,0.0,0
6,2026-06-21T13:54:36.096213,A,480p,600,1290.19,0.465,29.17,25.24,11.02,1,0,0.0,0
7,2026-06-21T13:54:37.621135,A,480p,600,1211.68,0.495,31.27,26.45,11.5,1,0,0.0,0
8,2026-06-21T13:54:39.612677,A,480p,600,1232.87,0.487,30.31,27.22,11.51,1,0,0.0,0
9,2026-06-21T13:54:41.594750,A,480p,600,1279.94,0.469,29.05,27.59,11.53,1,0,0.0,0
10,2026-06-21T13:54:43.687940,A,480p,600,1067.69,0.562,30.94,28.26,11.43,1,0,0.0,0
11,2026-06-21T13:54:45.593845,A,480p,600,1282.25,0.468,25.28,27.66,11.53,1,0,0.0,0
12,2026-06-21T13:54:47.839572,A,720p,900,1261.15,0.714,24.64,27.06,11.28,1,0,0.0,0
13,2026-06-21T13:54:49.868318,A,720p,900,1212.39,0.742,31.73,27.99,11.25,1,0,0.0,0
14,2026-06-21T13:54:51.843855,A,720p,900,1253.75,0.718,23.95,27.18,11.28,1,0,0.0,0
15,2026-06-21T13:54:53.918624,A,720p,900,1135.42,0.793,36.52,29.05,11.2,1,0,0.0,0
16,2026-06-21T13:54:55.889589,A,720p,900,1178.66,0.764,32.39,29.72,11.23,1,0,0.0,0
17,2026-06-21T13:54:57.859566,A,720p,900,1226.84,0.734,27.01,29.18,11.26,1,0,0.0,0
18,2026-06-21T13:54:59.848378,A,720p,900,1245.02,0.723,32.82,29.91,11.27,1,0,0.0,0
19,2026-06-21T13:55:01.830174,A,720p,900,1277.4,0.705,21.36,28.2,11.29,1,0,0.0,0
